	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	KEGG_Pathways
1	179343	195096	196527	189342	194943	190659	186587	200197	182910	174325	182717	211191	173724	182635	215043	208597	210132	200054	181380	183884	Unclassified; Poorly Characterized; General function prediction only
2	151636	163439	179452	181435	157288	163783	181760	178623	153917	166074	151016	176897	163593	151888	166544	156232	170311	180470	154681	178999	Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins
3	161606	172522	176162	189247	153131	187738	147141	157888	145455	162100	163615	161483	160327	152874	191882	174716	160266	167735	150288	163399	Environmental Information Processing; Membrane Transport; Transporters
4	170503	145574	150207	146511	153637	146094	157704	167899	148316	154798	163982	175430	152642	173631	163691	168100	164368	172805	151575	168947	Genetic Information Processing; Translation; Ribosome
5	129882	140478	133933	131719	127801	117731	139985	130072	129811	140705	132018	139021	136180	132204	134503	133821	121102	120446	141465	128562	Metabolism; Nucleotide Metabolism; Purine metabolism
6	128147	121729	122997	116758	129063	116538	122066	129117	125388	125754	115857	114345	121642	120182	111673	119991	123712	110570	122751	118026	Metabolism; Nucleotide Metabolism; Pyrimidine metabolism
7	115640	104393	125006	117875	104426	109835	112822	105026	107111	119771	119204	115536	121577	114168	118410	112595	103545	107857	113639	118151	Metabolism; Enzyme Families; Peptidases
8	94126	83849	95075	87078	86223	90132	98478	88056	95089	93535	89614	86566	83548	97711	83105	91196	97867	85354	94615	90239	Genetic Information Processing; Replication and Repair; Chromosome
9	91789	98442	92642	98922	90545	101048	96482	98702	88969	101352	78682	86388	89609	78840	78453	76595	75076	81942	86263	80848	Metabolism; Amino Acid Metabolism; Amino acid related enzymes
10	97107	97415	98977	87961	88214	88117	88989	84538	97638	101445	79699	88078	87370	82009	81593	90650	86880	77968	86743	89956	Metabolism; Energy Metabolism; Oxidative phosphorylation
11	81024	86808	89013	96128	94376	92483	90497	87484	89005	91133	85358	71403	81613	70385	78137	76968	71856	72344	80999	78282	Genetic Information Processing; Translation; Ribosome Biogenesis
12	80368	91160	79307	90349	90612	86791	81460	92392	86251	91375	80368	80095	74094	77163	75615	70699	74711	74471	71326	80668	Metabolism; Carbohydrate Metabolism; Amino sugar and nucleotide sugar metabolism
13	77605	79566	82100	71488	81839	85416	84625	74289	74924	85234	82085	86251	79076	85565	71901	72226	76451	81713	78025	84459	Genetic Information Processing; Replication and Repair; DNA replication proteins
14	81399	77512	70130	68672	79659	78572	72304	74553	82383	82245	73666	76673	72465	79676	75669	70988	74363	73778	78898	74591	Metabolism; Energy Metabolism; Methane metabolism
