#SampleID	Subject	Gender	TimePoint
Sample.1	Subject.1	M	T1
Sample.2	Subject.2	M	T1
Sample.3	Subject.3	F	T1
Sample.4	Subject.4	F	T1
Sample.5	Subject.5	F	T1
Sample.6	Subject.6	F	T1
Sample.7	Subject.7	F	T1
Sample.8	Subject.8	F	T1
Sample.9	Subject.9	M	T1
Sample.10	Subject.10	M	T1
Sample.11	Subject.11	F	T1
Sample.12	Subject.12	M	T1
Sample.13	Subject.13	M	T1
Sample.14	Subject.14	M	T1
Sample.15	Subject.15	F	T1
Sample.16	Subject.16	F	T1
Sample.17	Subject.17	F	T1
Sample.18	Subject.18	M	T1
Sample.19	Subject.1	M	T2
Sample.20	Subject.2	M	T2
Sample.21	Subject.3	F	T2
Sample.22	Subject.4	F	T2
Sample.23	Subject.5	F	T2
Sample.24	Subject.6	F	T2
Sample.25	Subject.7	F	T2
Sample.26	Subject.8	F	T2
Sample.27	Subject.9	M	T2
Sample.28	Subject.10	M	T2
Sample.29	Subject.11	F	T2
Sample.30	Subject.12	M	T2
Sample.31	Subject.13	M	T2
Sample.32	Subject.14	M	T2
Sample.33	Subject.15	F	T2
Sample.34	Subject.16	F	T2
Sample.35	Subject.17	F	T2
Sample.36	Subject.18	M	T2
