# Comment
#OTU ID	Smpl1	Smpl2	Smpl3	Smpl4	Smpl5	Smpl6	Smpl7	Smpl8	Smpl9	Smpl10	Smpl11	Smpl12	Smpl13	Smpl14	Smpl15	Smpl16	Smpl17	Smpl18	Smpl19	Smpl20	taxonomy
16186	0	0	0	0	0	0	0	0	0	0	32	48	37	36	15	45	12	21	15	23	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
183681	60	36	49	31	25	115	5	44	0	9	88	1	41	89	96	55	30	50	49	54	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
580090	509	515	876	997	289	962	877	466	891	867	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
308333	0	0	0	0	0	0	0	0	0	0	377	293	425	735	584	444	79	446	416	397	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
184285	0	2	0	15	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
193572	0	0	0	0	0	0	0	0	0	0	69	36	42	14	52	4	12	66	20	52	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
191218	0	13	0	3	11	43	14	17	21	7	46	30	14	14	2	15	10	26	16	42	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__; s__
323135	0	1	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
198118	159	67	83	166	46	139	184	98	160	112	168	121	143	27	94	197	62	155	96	106	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
186775	63	29	75	51	19	52	107	86	71	135	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia
175520	63	15	0	61	0	34	13	26	24	31	38	29	49	17	0	16	27	19	0	39	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
187225	0	0	0	0	0	0	0	0	0	0	114	136	0	172	105	159	55	114	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
367627	1085	796	1280	38	380	1596	1785	302	1057	372	1434	1368	667	1241	1190	916	435	804	1551	1494	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__[Coprobacillaceae]; g__Catenibacterium; s__
298716	805	263	518	901	339	500	624	490	880	1082	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
368127	0	0	0	0	0	0	0	0	0	0	74	171	97	31	51	165	33	134	73	88	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
189849	240	80	113	206	61	180	185	142	258	149	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii
329884	319	48	213	234	76	260	246	136	131	178	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
175497	58	27	67	50	9	47	78	48	66	63	47	73	82	73	56	66	20	69	73	69	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
187123	15	22	22	18	6	26	31	10	34	22	10	6	25	6	20	36	7	41	22	31	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
302632	0	0	0	4	0	4	0	0	16	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
