#OTU ID	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	taxonomy
4480861	165	18505	3063	1773	49100	1166	65	70	5243	16949	18346	662	9662	51	7849	45073	8796	45080	164	80413	1935	1776	31927	1571	66	101	14062	11487	18398	656	12572	51	7865	52785	4514	29145	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__[Coprobacillaceae]; g__Catenibacterium;
295194	11	5	1066	5410	543	4518	8246	5313	340	1801	222	7	4123	5152	10	3699	55	16	11	24	715	5357	346	5968	8229	8351	839	1212	220	7	5413	5166	10	4317	21	13	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__[Coprobacillaceae]; g__Catenibacterium;
272587	10	327	320	1600	49	2625	1360	1226	1493	13073	326	195	173	8	12	915	231	10563	10	1425	201	1593	28	3434	1350	1927	3760	8957	328	197	231	8	12	1005	124	6754	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae;
174066	63	710	1100	1601	9	1086	1341	150	2114	1716	741	807	10453	3350	4	309	882	858	64	2980	681	1594	4	1416	1329	248	5525	1188	736	803	13547	3354	4	369	435	553	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;
193829	0	1	3	0	1925	3	136	1333	3	1	8	29386	77	28	15	24	7	3	0	7	3	0	1218	4	135	2075	4	1	8	29192	95	28	15	23	2	2	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__garvieae
4387208	1778	28	18254	3	1421	18	5	1028	0	1	5	42	0	1	1	3	851	5	1792	141	11769	3	939	21	5	1604	2	0	5	42	0	1	1	3	422	4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus;
177727	26	2	0	4	12	1	1	1	0	0	251	180	168	13	2	15	21919	20	26	13	0	4	5	1	1	4	0	0	250	179	226	13	2	24	11198	14	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales;
178296	117	57	612	609	147	145	633	870	308	8727	243	70	3728	823	16	45	35	106	117	213	402	614	103	197	639	1370	884	5934	244	70	4890	822	16	44	21	63	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella;
192708	8	345	534	4	1	4	5347	1	571	7	7015	8	2314	59	6	6	110	2	8	1514	331	4	1	4	5311	3	1600	3	7118	8	3042	59	6	4	59	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
230263	1	0	2847	3	3	1672	3	4	0	4	0	554	4	2	3	13	13357	262	1	3	1843	3	2	2208	3	6	0	3	0	549	6	2	3	15	6782	163	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__p-75-a5;
196736	1661	2	653	2168	38	6	7	886	636	10	7753	5	79	245	5	233	836	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira;
849704	1	0	0	2	0	135	0	5	3540	1978	322	2	1	9	2	6	4959	2	3	0	0	7	0	617	0	33	29826	4459	1063	6	8	31	6	25	7791	4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella;
308860	101	23	1036	164	183	3038	110	292	137	496	105	50	888	549	1176	10	11	4874	101	129	660	163	126	4006	111	463	403	322	107	50	1189	549	1176	16	5	3107	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales;
176753	1117	18	167	95	16	2809	868	200	39	1090	1158	348	1337	30	129	66	23	918	1114	82	99	96	9	3638	861	322	113	753	1176	347	1800	30	130	80	14	605	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
336275	1208	223	608	14	117	18	43	0	38	98	2886	11	1502	3	2151	44	1	148	4240	3122	1584	52	228	89	144	0	348	216	10605	39	6256	10	7950	157	2	362	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia;
192347	2	0	3	3	7	2	2882	2	91	1	2	30	2	122	3	3240	2290	2	2	4	2	3	2	3	2858	3	238	1	2	30	2	123	3	3798	1199	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
175703	317	16	171	416	180	921	540	270	89	71	392	978	309	716	1504	466	7	473	1030	258	364	1307	442	4649	2028	1236	908	191	1509	3100	1272	2155	5931	1982	12	922	k__Bacteria; p__Firmicutes; c__Clostridia; o__Coriobacteriales;
359359	284	45	31	15	2	0	1	9	2039	7	250	42	0	2099	0	96	6	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae;
4422313	0	0	0	25	3	64	1	0	0	2	1	1	1	8024	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta;
353155	1	4	6	3	2	35	290	7	121	0	4	50	2	989	2	234	3330	2645	1	21	3	3	1	40	289	9	350	0	4	50	5	991	2	267	1692	1657	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus;
291906	88	203	1495	3	19	111	613	7	415	34	489	565	30	712	3	15	9	1216	89	850	955	3	13	149	615	8	1069	24	490	562	38	710	3	14	3	768	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus;
