	sample_1	sample_2	sample_3	sample_4	sample_5	sample_6	sample_7	sample_8	sample_9	sample_10	sample_11	sample_12	sample_13	sample_14	sample_15	sample_16	sample_17	sample_18	sample_19	sample_20	sample_21	sample_22	sample_23	sample_24	sample_25	sample_26	sample_27	sample_28	sample_29	sample_30	sample_31	sample_32	sample_33	sample_34	sample_35	sample_36	sample_37	sample_38	sample_39	sample_40	sample_41	sample_42	sample_43	sample_44	taxonomy
1	60.9095908786	65.3375753823	72.3048724502	67.201351522	58.7043020549	66.5011206218	72.6143945067	86.7100878785	71.6269677468	82.4501673515	60.9909791327	63.5701451931	67.9421175843	68.5538016626	67.4326142332	71.6773012328	71.6245699323	71.4563022052	76.8482819777	69.5096426259	57.078235386	68.2256398065	67.8459139969	64.5416455714	59.2522435498	62.5734591465	68.4854562017	65.6670629514	60.9253180715	58.7621781692	56.0917216792	60.644894763	57.507789256	66.1375547862	59.5558564998	62.7440859485	63.8435647932	57.7452245435	74.7023115333	72.9177494879	58.242646422	68.1880160118	63.1107553689	68.1141406697	Actinomycetaceae
2	69.4516053821	69.0158938974	64.8061414422	56.6382762851	76.3897850898	58.1266953104	76.4653961626	83.9673378983	72.0858724718	58.8660357998	69.3032005799	60.3807731042	74.8200037866	80.0667374945	62.0926319349	64.9754190257	62.9704128459	71.0009612087	83.4328925463	76.2258165818	61.1439592566	54.2409509876	72.4614977766	62.3332123189	74.1508314321	69.7144869642	60.3642284607	61.2633469138	58.8647522136	60.5539283539	61.8813804724	67.4632395282	56.0590284371	69.4942668658	68.3902080154	89.5106913677	72.9822417442	86.7097457043	63.3046195504	60.857480307	66.2098024975	66.1243906689	66.6554056717	64.9616944731	Aerococcus
3	62.8233694063	78.8103336745	74.4017310594	80.8642190807	63.530452528	63.3513743105	69.9470754241	63.2039108753	72.8954515435	73.7653466964	70.2095999936	71.21472713	75.4185779165	68.89377027	66.7227638298	61.2434758441	65.3279816079	62.4066444167	97.5851222533	94.3604205998	64.4026902596	67.7068718071	60.7136256864	76.2505988883	65.3103793392	67.4112146312	55.3527428068	57.7622192315	64.3523488491	63.8123721302	64.3563125217	61.5627509463	57.2604451844	58.9598195045	76.0801603193	88.0657259055	63.0291080201	64.0789185671	63.030074015	61.7664287669	79.9947799881	75.713929531	68.5651263515	73.1765570716	Aeromonas
4	287.3837656624	248.9705120669	287.5267260803	242.5796802006	303.6684332194	479.5474689768	420.4928455081	338.9698352037	867.0826060693	396.9949857192	776.9112214896	713.4709089653	285.8256460006	335.2995849768	172.7771449453	203.6420957695	1306.0134612304	219.1832221354	377.3309833137	634.1005170556	616.1119795546	1513.7115112074	283.4856643387	199.733102776	268.782673958	206.1414451485	2933.4045780783	2630.2329454366	275.1493037093	349.8619185007	507.7648651384	474.1704332169	188.3544506958	177.6531889067	205.3289107275	292.0658419614	288.3560858322	312.984573007	1537.1795524952	2477.4695040542	308.2561571263	403.7985825006	771.3350330409	405.8136381459	Akkermansia
5	61.6496704765	58.0694219735	75.1918677484	57.3829616897	56.5367324884	54.9486324268	60.4985674771	62.5403536979	58.8450752424	60.5251930006	57.962234385	70.4602720482	59.1731107533	57.2607967057	58.0593762475	60.6223261451	58.7735895572	60.0747282326	58.285460084	56.4286076479	61.0644529884	65.9435205504	65.7172313639	56.6600953337	58.8460955826	60.9366588494	73.5921536287	66.112634919	54.983421233	56.5980592345	54.3117982718	53.2534309945	54.6148332634	54.8396245382	55.8936601507	57.3195943783	58.7824250958	55.5719020097	53.3676440136	52.8598804803	56.2668569306	55.1585814205	61.3964736735	59.2104640559	Alcaligenes_faecalis_et_rel.
6	231.9970416727	170.2276030855	257.5187032362	279.3161006959	340.1268887495	374.814925987	161.6576555388	185.6576257566	107.0122309097	148.6226178591	252.309718986	214.1087083742	291.0790130485	411.1048442797	188.0549076399	234.0628011475	520.3466907049	350.8974759751	311.328198806	428.0086688732	220.2037644261	330.1506178088	408.0452150228	338.8928994442	276.3109498664	258.617597979	650.8963977131	596.3118084281	334.9390692644	502.3910176896	294.0564437204	292.9068626369	152.006840172	90.5731288133	245.1179097535	110.3125610193	372.4720339014	159.8366653634	363.8757009395	320.9771593982	129.3454152733	132.5192953776	243.909494099	245.2209423977	Allistipes_et_rel.
7	54.969131604	65.8459072906	57.8766483117	71.430646933	55.9816261016	55.3848038595	65.3206168072	61.4657810592	58.3624018045	64.2609369216	56.8497814978	82.8756786277	63.9806530819	58.1469924391	53.7265811647	55.9231666526	66.586026171	58.5420345573	66.7475977243	63.2412508746	57.2473752516	60.4466005676	56.3868050812	70.4980290289	55.5283384968	58.6254057768	56.4990074752	54.8496637361	56.2709165125	53.0444596642	54.0247430021	54.9180351923	56.7009124671	53.6039648824	57.5660469415	57.182096044	57.2345576248	60.3178093523	52.435821081	55.3405733047	59.1581556304	57.0151391558	59.5805691427	72.261585708	Anaerobiospirillum
8	82.6742573126	92.847229618	83.2643918855	86.6026337525	83.230006359	87.4442631844	92.9521063165	95.1858098088	109.2919017774	102.4288739428	91.4543001317	100.3535104281	99.2240942516	111.1714591021	74.7592499075	74.6130605505	166.7395436144	141.8123832364	238.0917612572	253.8439582864	79.2682125946	76.7977362645	87.0372447268	92.1970216968	86.2844519661	87.2015965218	73.5428660836	67.8335527234	77.8717115625	77.3805809048	83.9144771581	88.8175014592	76.4660844237	80.9775729362	98.4303682378	126.3037271848	78.656224728	86.7437390467	82.0930583244	82.0325139392	108.3921158653	90.4010414298	74.7933632225	76.1611285623	Anaerofustis
9	422.7847406042	682.0490907794	448.3374277579	375.5478174249	591.7589310854	567.7554877559	552.8166997753	462.8536675114	865.2312041001	967.256561355	659.1782409588	399.8320536512	740.4315875333	704.8339849889	498.1376905521	375.8555117716	676.3271766525	559.458684555	750.271183228	669.5376745473	399.3295775653	346.5923279051	486.1604646951	473.2164913279	590.578769878	499.1761540228	366.3986009978	762.0881559862	412.2393153494	321.4710639205	710.3986511875	642.2044794648	507.346801493	564.2710301569	883.6568419285	720.1263575124	401.2379079918	551.428168463	308.3686752543	348.3585881558	901.9413869455	746.6325372091	417.814886085	409.4053718151	Anaerostipes_caccae_et_rel.
10	72.8401561074	116.9536472005	127.0708280551	151.3229597989	105.1592856047	112.4314284362	216.9241547232	215.2695562663	98.377566832	92.5265736277	153.824548102	177.9407356439	130.2330783789	121.2649605519	193.6717372998	196.1504758939	208.1699418584	191.2506498001	83.3111327932	98.8881526102	166.4980785358	212.4149092901	106.6635223781	82.9311129154	84.2542052433	82.1965695892	155.5114276631	130.2984308005	114.5811213755	120.3999138218	135.5031836073	145.0738750733	136.5430898899	132.8678274073	86.2941836431	76.6470700031	135.5621908288	157.3348756117	166.1263178574	146.4870167934	156.6106889439	120.3315614285	94.1282232605	127.1045261116	Anaerotruncus_colihominis_et_rel.
