SampleID	Region
Spl.01	A
Spl.02	A
Spl.03	A
Spl.04	A
Spl.05	A
Spl.06	A
Spl.07	A
Spl.08	A
Spl.09	A
Spl.10	A
Spl.11	A
Spl.12	A
Spl.13	A
Spl.14	A
Spl.15	A
Spl.16	A
Spl.17	A
Spl.18	A
Spl.19	A
Spl.20	A
Spl.21	A
Spl.22	A
Spl.23	A
Spl.24	A
Spl.25	A
Spl.26	A
Spl.27	A
Spl.28	A
Spl.29	A
Spl.30	A
Spl.31	A
Spl.32	A
Spl.33	A
Spl.34	A
Spl.35	A
Spl.36	A
Spl.37	B
Spl.38	B
Spl.39	B
Spl.40	B
Spl.41	B
Spl.42	B
Spl.43	B
Spl.44	B
Spl.45	B
Spl.46	B
Spl.47	B
Spl.48	B
Spl.49	B
Spl.50	B
Spl.51	B
Spl.52	B
Spl.53	B
Spl.54	B
Spl.55	B
Spl.56	B
Spl.57	B
Spl.58	B
Spl.59	B
Spl.60	B
Spl.61	B
Spl.62	B
Spl.63	B
Spl.64	B
Spl.65	B
Spl.66	B
Spl.67	B
Spl.68	B
Spl.69	B
Spl.70	B
Spl.71	B
Spl.72	C
Spl.73	C
Spl.74	C
Spl.75	C
Spl.76	C
Spl.77	C
Spl.78	C
Spl.79	C
Spl.80	C
Spl.81	C
Spl.82	C
Spl.83	C
Spl.84	C
Spl.85	C
Spl.86	C
Spl.87	C
Spl.88	C
Spl.89	C
Spl.90	C
Spl.91	C
Spl.92	C
Spl.93	C
Spl.94	C
Spl.95	C
Spl.96	C
Spl.97	C
Spl.98	C
Spl.99	C
Spl.100	C
Spl.101	C
Spl.102	C
Spl.103	C
Spl.104	C
Spl.105	C
Spl.106	C
