Var	Spl.01	Spl.02	Spl.03	Spl.04	Spl.05	Spl.06	Spl.07	Spl.08	Spl.09	Spl.10	Spl.11	Spl.12	Spl.13	Spl.14	Spl.15	Spl.16	Spl.17	Spl.18	Spl.19	Spl.20	Spl.21	Spl.22	Spl.23	Spl.24	Spl.25	Spl.26	Spl.27	Spl.28	Spl.29	Spl.30	Spl.31	Spl.32	Spl.33	Spl.34	Spl.35	Spl.36	Spl.37	Spl.38	Spl.39	Spl.40	Spl.41	Spl.42	Spl.43	Spl.44	Spl.45	Spl.46	Spl.47	Spl.48	Spl.49	Spl.50	Spl.51	Spl.52	Spl.53	Spl.54	Spl.55	Spl.56	Spl.57	Spl.58	Spl.59	Spl.60	Spl.61	Spl.62	Spl.63	Spl.64	Spl.65	Spl.66	Spl.67	Spl.68	Spl.69	Spl.70	Spl.71	Spl.72	Spl.73	Spl.74	Spl.75	Spl.76	Spl.77	Spl.78	Spl.79	Spl.80	Spl.81	Spl.82	Spl.83	Spl.84	Spl.85	Spl.86	Spl.87	Spl.88	Spl.89	Spl.90	Spl.91	Spl.92	Spl.93	Spl.94	Spl.95	Spl.96	Spl.97	Spl.98	Spl.99	Spl.100	Spl.101	Spl.102	Spl.103	Spl.104	Spl.105	Spl.106
Alcohol	14.23	14.37	14.39	13.86	13.75	13.63	14.19	12.93	13.5	13.87	13.58	13.48	14.22	13.88	14.21	14.1	13.83	13.74	13.29	12.33	12.37	13.11	12.21	13.49	11.76	11.03	12.77	12.42	12.07	12.37	12.88	12.51	12.53	12.93	13.62	13.88	13.2	13.24	14.06	14.1	14.75	14.3	13.64	13.71	13.05	14.02	13.76	13.05	13.56	13.24	14.38	13.94	13.82	13.56	13.72	12.64	12.17	12.37	12.29	12.99	11.41	11.82	12	13.05	12.43	12.04	12.81	12.6	13.49	13.36	12.25	13.16	14.2	14.83	14.12	14.38	13.83	14.06	12.85	13.3	13.73	13.51	13.07	13.41	13.05	13.9	13.05	13.77	14.22	12.37	13.67	12.37	13.34	13.86	12.52	12.08	12.42	11.45	11.87	11.79	12.86	12.7	12.25	12.84	13.52	13.16
Malic_acid	1.71	1.95	1.87	1.35	1.73	1.81	1.59	3.8	1.81	1.9	1.66	1.81	3.99	1.89	4.04	2.02	1.65	1.67	1.97	1.1	1.13	1.01	1.19	1.66	2.68	1.51	3.43	4.43	2.16	1.63	2.99	1.24	5.51	2.81	4.95	5.04	1.78	2.59	2.15	2.16	1.73	1.92	3.1	1.86	2.05	1.68	1.53	1.65	1.71	3.98	3.59	1.73	1.75	1.73	1.43	1.36	1.45	1.17	1.61	1.67	0.74	1.47	3.43	5.8	1.53	4.3	2.31	2.46	3.59	2.56	3.88	2.36	1.76	1.64	1.48	1.87	1.57	1.63	1.6	1.72	1.5	1.8	1.5	3.84	1.77	1.68	1.73	1.9	1.7	0.94	1.25	1.21	0.94	1.51	2.43	1.39	1.61	2.4	4.31	2.13	1.35	3.55	4.72	2.96	3.17	3.57
Ash	2.43	2.5	2.45	2.27	2.41	2.7	2.48	2.65	2.61	2.8	2.36	2.41	2.51	2.59	2.44	2.4	2.6	2.25	2.68	2.28	2.16	1.7	1.75	2.24	2.92	2.2	1.98	2.73	2.17	2.3	2.4	2.25	2.64	2.7	2.35	2.23	2.14	2.87	2.61	2.3	2.39	2.72	2.56	2.36	3.22	2.21	2.7	2.55	2.31	2.29	2.28	2.27	2.42	2.46	2.5	2.02	2.53	1.92	2.21	2.6	2.5	1.99	2	2.13	2.29	2.38	2.4	2.2	2.19	2.35	2.2	2.67	2.45	2.17	2.32	2.38	2.62	2.28	2.52	2.14	2.7	2.65	2.1	2.12	2.1	2.12	2.04	2.68	2.3	1.36	1.92	2.56	2.36	2.67	2.17	2.5	2.19	2.42	2.39	2.78	2.32	2.36	2.54	2.61	2.72	2.15
Alcalinity_of_ash	15.6	16.8	14.6	16	16	17.2	16.5	18.6	20	19.4	19.1	20.5	13.2	15	18.9	18.8	17.2	16.4	16.8	16	19	15	16.8	24	20	21.5	16	26.5	21	24.5	20	17.5	25	21	20	20	11.2	21	17.6	18	11.4	20	15.2	16.6	25	16	19.5	18	16.2	17.5	16	17.4	14	20.5	16.7	16.8	19	19.6	20.4	30	21	20.8	19	21.5	21.5	22	24	18.5	19.5	20	18.5	18.6	15.2	14	16.8	12	20	16	17.8	17	22.5	19	15.5	18.8	17	16	12.4	17.1	16.3	10.6	18	18.1	17	25	21	22.5	22.5	20	21	28.5	18	21.5	21	24	23.5	21
Magnesium	127	113	96	98	89	112	108	102	96	107	106	100	128	101	111	103	94	118	102	101	87	78	151	87	103	85	80	102	85	88	104	85	96	96	92	80	100	118	121	105	91	120	116	101	124	96	132	98	117	103	102	108	111	116	108	100	104	78	103	139	88	86	87	86	86	80	98	94	88	89	112	101	112	97	95	102	115	126	95	94	101	110	98	90	107	101	92	115	118	88	94	98	110	86	88	84	108	96	82	92	122	106	89	101	97	102
Total_phenols	2.8	3.85	2.5	2.98	2.6	2.85	3.3	2.41	2.53	2.95	2.86	2.7	3	3.25	2.85	2.75	2.45	2.6	3	2.05	3.5	2.98	1.85	1.88	1.75	2.46	1.63	2.2	2.6	2.22	1.3	2	1.79	1.54	2	0.98	2.65	2.8	2.6	2.95	3.1	2.8	2.7	2.61	2.63	2.65	2.95	2.45	3.15	2.64	3.25	2.88	3.88	2.96	3.4	2.02	1.89	2.11	1.1	3.3	2.48	1.98	2	2.62	2.74	2.1	1.15	1.62	1.62	1.4	1.38	2.8	3.27	2.8	2.2	3.3	2.95	3	2.48	2.4	3	2.35	2.4	2.45	3	3.1	2.72	3	3.2	1.98	2.1	2.42	2.53	2.95	2.55	2.56	2	2.9	2.86	2.13	1.51	1.7	1.38	2.32	1.55	1.5
Flavanoids	3.06	3.49	2.52	3.15	2.76	2.91	3.93	2.41	2.61	2.97	3.19	2.98	3.04	3.56	2.65	2.92	2.99	2.9	3.23	1.09	3.1	3.18	1.28	1.84	2.03	2.17	1.25	2.13	2.65	2.45	1.22	0.58	0.6	0.5	0.8	0.34	2.76	2.69	2.51	3.32	3.69	3.14	3.03	2.88	2.68	2.33	2.74	2.43	3.29	2.63	3.17	3.54	3.74	2.78	3.67	1.41	1.75	2	1.02	2.89	2.01	1.6	1.64	2.65	3.15	1.75	1.09	0.66	0.48	0.5	0.78	3.24	3.39	2.98	2.43	3.64	3.4	3.17	2.37	2.19	3.25	2.53	2.64	2.68	3	3.39	3.27	2.79	3	0.57	1.79	2.65	1.3	2.86	2.27	2.29	2.09	2.79	3.03	2.24	1.25	1.2	0.47	0.6	0.52	0.55
Nonflavanoid_phenols	0.28	0.24	0.3	0.22	0.29	0.3	0.32	0.25	0.28	0.37	0.22	0.26	0.2	0.17	0.3	0.32	0.22	0.21	0.31	0.63	0.19	0.26	0.14	0.27	0.6	0.52	0.43	0.43	0.37	0.4	0.24	0.6	0.63	0.53	0.47	0.4	0.26	0.39	0.31	0.22	0.43	0.33	0.17	0.27	0.47	0.26	0.5	0.29	0.34	0.32	0.27	0.32	0.32	0.2	0.19	0.53	0.45	0.27	0.37	0.21	0.42	0.3	0.37	0.3	0.39	0.42	0.27	0.63	0.58	0.37	0.29	0.3	0.34	0.29	0.26	0.29	0.4	0.24	0.26	0.27	0.29	0.29	0.28	0.27	0.28	0.21	0.17	0.39	0.26	0.28	0.32	0.37	0.55	0.21	0.26	0.43	0.34	0.32	0.21	0.58	0.21	0.17	0.53	0.53	0.5	0.43
Proanthocyanins	2.29	2.18	1.98	1.85	1.81	1.46	1.86	1.98	1.66	1.76	1.95	1.86	2.08	1.7	1.25	2.38	2.29	1.62	1.66	0.41	1.87	2.28	2.5	1.03	1.05	2.01	0.83	1.71	1.35	1.9	0.83	1.25	1.1	0.75	1.02	0.68	1.28	1.82	1.25	2.38	2.81	1.97	1.66	1.69	1.92	1.98	1.35	1.44	2.34	1.66	2.19	2.08	1.87	2.45	2.04	0.62	1.03	1.04	1.46	1.96	1.44	1.53	1.87	2.01	1.77	1.35	0.83	0.94	0.88	0.64	1.14	2.81	1.97	1.98	1.57	2.96	1.72	2.1	1.46	1.35	2.38	1.54	1.37	1.48	2.03	2.14	2.91	1.68	2.03	0.42	0.73	2.08	0.42	1.87	1.22	1.04	1.61	1.83	2.91	1.76	0.94	0.84	0.8	0.81	0.55	1.3
Proline	1065	1480	1290	1045	1320	1310	1680	770	845	915	1515	920	760	1095	1080	1060	1265	1060	1270	680	420	502	718	472	607	407	372	365	378	342	530	650	515	600	550	415	1050	735	1295	1510	1150	1280	845	1035	830	1035	1235	1105	795	680	1065	1260	1190	1120	1285	450	355	510	870	985	434	495	564	380	352	580	560	695	580	780	855	1185	1450	1045	1280	1547	1130	780	1015	1285	1285	1095	1020	1035	885	985	1150	1375	970	520	630	678	750	410	325	385	345	625	380	466	630	600	720	590	520	830
